Datetime,Water Level (m)
2024-11-18 12:00:00,-0.93964076
2024-11-18 13:00:00,-1.6393707
2024-11-18 14:00:00,-2.1005387
2024-11-18 15:00:00,-2.0421917
2024-11-18 16:00:00,-0.9859664
2024-11-18 17:00:00,0.19559607
2024-11-18 18:00:00,1.2998184
2024-11-18 19:00:00,2.0098073
2024-11-18 20:00:00,2.3123205
2024-11-18 21:00:00,2.1215742
2024-11-18 22:00:00,1.4767313
2024-11-18 23:00:00,0.5532912
2024-11-19 00:00:00,-0.43817714
2024-11-19 01:00:00,-1.2863811
2024-11-19 02:00:00,-1.9843638
2024-11-19 03:00:00,-2.3018568
2024-11-19 04:00:00,-1.859703
2024-11-19 05:00:00,-0.7467212
2024-11-19 06:00:00,0.20689231
2024-11-19 07:00:00,1.0125216
2024-11-19 08:00:00,1.4230344
2024-11-19 09:00:00,1.5055017
2024-11-19 10:00:00,1.1948296
2024-11-19 11:00:00,0.5246946
2024-11-19 12:00:00,-0.2849576
2024-11-19 13:00:00,-1.0811684
2024-11-19 14:00:00,-1.7272809
2024-11-19 15:00:00,-2.0733302
2024-11-19 16:00:00,-1.7079728
2024-11-19 17:00:00,-0.5411411
2024-11-19 18:00:00,0.5084405
2024-11-19 19:00:00,1.4197624
2024-11-19 20:00:00,1.9114256
2024-11-19 21:00:00,2.0529883
2024-11-19 22:00:00,1.7990552
2024-11-19 23:00:00,1.1415718
2024-11-20 00:00:00,0.29429078
2024-11-20 01:00:00,-0.5822444
2024-11-20 02:00:00,-1.366427
2024-11-20 03:00:00,-1.9350904
2024-11-20 04:00:00,-2.115248
2024-11-20 05:00:00,-1.5583013
2024-11-20 06:00:00,-0.5727038
2024-11-20 07:00:00,0.2921746
2024-11-20 08:00:00,0.9637521
2024-11-20 09:00:00,1.2771571
2024-11-20 10:00:00,1.2949189
2024-11-20 11:00:00,0.97638494
2024-11-20 12:00:00,0.36738548
2024-11-20 13:00:00,-0.3504081
2024-11-20 14:00:00,-1.0460874
2024-11-20 15:00:00,-1.5716525
2024-11-20 16:00:00,-1.7644317
2024-11-20 17:00:00,-1.2968236
2024-11-20 18:00:00,-0.32996756
2024-11-20 19:00:00,0.580916
2024-11-20 20:00:00,1.3197163
2024-11-20 21:00:00,1.7158448
2024-11-20 22:00:00,1.7812802
2024-11-20 23:00:00,1.491843
2024-11-21 00:00:00,0.8600603
2024-11-21 01:00:00,0.07248559
2024-11-21 02:00:00,-0.7091026
2024-11-21 03:00:00,-1.3671714
2024-11-21 04:00:00,-1.8084435
2024-11-21 05:00:00,-1.8562326
2024-11-21 06:00:00,-1.310331
2024-11-21 07:00:00,-0.50773805
2024-11-21 08:00:00,0.24090247
2024-11-21 09:00:00,0.82059765
2024-11-21 10:00:00,1.1132596
2024-11-21 11:00:00,1.1369406
2024-11-21 12:00:00,0.8692909
2024-11-21 13:00:00,0.34869775
2024-11-21 14:00:00,-0.29135883
2024-11-21 15:00:00,-0.91630584
2024-11-21 16:00:00,-1.353498
2024-11-21 17:00:00,-1.46541
2024-11-21 18:00:00,-1.0075821
2024-11-21 19:00:00,-0.22225507
2024-11-21 20:00:00,0.528967
2024-11-21 21:00:00,1.1082934
2024-11-21 22:00:00,1.4291846
2024-11-21 23:00:00,1.4683636
2024-11-22 00:00:00,1.2027429
2024-11-22 01:00:00,0.6557184
2024-11-22 02:00:00,-0.031251967
2024-11-22 03:00:00,-0.7109654
2024-11-22 04:00:00,-1.2819211
2024-11-22 05:00:00,-1.631786
2024-11-22 06:00:00,-1.6300547
2024-11-22 07:00:00,-1.1449192
2024-11-22 08:00:00,-0.45625952
2024-11-22 09:00:00,0.19161095
2024-11-22 10:00:00,0.6926426
2024-11-22 11:00:00,0.97546154
2024-11-22 12:00:00,1.0303438
2024-11-22 13:00:00,0.8273423
2024-11-22 14:00:00,0.39518535
2024-11-22 15:00:00,-0.16193329
2024-11-22 16:00:00,-0.69910103
2024-11-22 17:00:00,-1.0844479
2024-11-22 18:00:00,-1.1983855
2024-11-22 19:00:00,-0.8991945
2024-11-22 20:00:00,-0.30239043
2024-11-22 21:00:00,0.31790587
2024-11-22 22:00:00,0.8412481
2024-11-22 23:00:00,1.155385
2024-11-23 00:00:00,1.2244878
2024-11-23 01:00:00,1.0287278
2024-11-23 02:00:00,0.591748
2024-11-23 03:00:00,0.002129691
2024-11-23 04:00:00,-0.61176234
2024-11-23 05:00:00,-1.1422805
2024-11-23 06:00:00,-1.4700181
2024-11-23 07:00:00,-1.5038371
2024-11-23 08:00:00,-1.1461957
2024-11-23 09:00:00,-0.5552624
2024-11-23 10:00:00,0.06419709
2024-11-23 11:00:00,0.5791649
